公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1108,幸福,357039,345563,357162,3.32,-0.03,1748555,1866080,-6.29,-
1220,台榮,254687,262030,203469,-2.8,25.17,1225477,1020681,20.06,-
1225,福懋油,1114265,1020599,809957,9.17,37.57,5230403,4187259,24.91,-
1233,天仁,134815,141150,149497,-4.48,-9.82,758636,761846,-0.42,-
1235,興泰,1066,1112,1915,-4.13,-44.33,5999,8020,-25.19,-
1236,宏亞,98044,100156,66599,-2.1,47.21,738812,606340,21.84,-
1256,鮮活果汁-KY,409708,407552,318600,0.52,28.59,1811260,911167,98.78,109年受新冠疫情影響，出貨較少
1737,臺鹽,362608,309644,249085,17.1,45.57,1462337,1237913,18.12,-
1301,台塑,24347789,24367037,13455462,-0.07,80.95,109316763,70226720,55.66,去年5月受疫情影響，需求與產品價格下跌，今年全球疫情趨緩，需求及產品價格回升，因此今年5月合併營收較去年同期增加80.95%。
1303,南亞,34484715,34904534,19418507,-1.2,77.58,159099939,105387094,50.96,去年5月新冠肺炎疫情擴散，由亞洲進而蔓延至歐美，重創全球經濟活動，而今年5月公司營運良好，故相較之下差異較大。
1304,台聚,5665595,6028023,3401050,-6.01,66.58,27889794,18262779,52.71,因市場環境影響銷售量價皆優於去年同期，故營收增加。
1305,華夏,1397334,1493823,620635,-6.45,125.14,7869841,4929756,59.63,109年第二季全球爆發第一波新冠肺炎疫情，致需求驟降，今年因部分PVC大廠受疫情、歲修或天災而減產，後疫情需求恢復。
1307,三芳,604961,697674,418689,-13.28,44.48,3891725,3638763,6.95,-
1308,亞聚,740520,800995,473355,-7.54,56.44,3394207,2220600,52.85,產品平均售價較去年同期提高所致
1309,台達化,1827110,1876788,1137515,-2.64,60.62,8239579,5247845,57.0,持續強化銷售量，銷售量較去年同期增加，且售價優於去年，故營業收入較去年同期增加。
1310,台苯,1216202,1126664,604350,7.94,101.24,4480573,2893597,54.84,5月份營收較去年同期增加101.24%，SM合約售價格較去年同期上升約107%，銷量也較去年同期呈增長。
1312,國喬,2029279,1949387,1169189,4.09,73.56,9213798,5878537,56.73,係因主要產品之數量及價格均較去年成長
1313,聯成,6407063,7594888,4110055,-15.63,55.88,31020638,16954840,82.96,產品價格較去年同期增加。
1324,地球,97182,83533,80291,16.33,21.03,432603,446579,-3.12,-
1326,台化,32135688,33047596,18011412,-2.75,78.41,149337535,100589733,48.46,比較去年同時疫情影響較緩和，下游需求消費動能提升，致行情上漲，客戶採購動能穩定，開動率提高產銷量增加。
1337,再生-KY,111075,108468,66816,2.4,66.24,484486,316485,53.08,主係本期中國境內對新冠肺炎疫情管控得當，相關產業及商業活動已回復疫情爆發前景況，為營收較去年同期增長之主要因素。
1340,勝悅-KY,54400,53832,51258,1.05,6.12,227692,201484,13.0,-
1341,富林-KY,251222,222207,152911,13.05,64.29,1231683,992731,24.07,5月較去年增加，因去年自4月起受COVID-19影響各國陸續停工，影響公司出貨。今年疫情控制得宜，出貨量增加。
1413,宏洲,256345,249530,101981,2.73,151.36,1125983,648426,73.64,因去年疫情關係基期低
1414,東和,62640,68982,32832,-9.19,90.78,334561,293819,13.86,去年同期受疫情影響，出貨量減少
1423,利華,16819,17732,18695,-5.14,-10.03,88471,91860,-3.68,-
1434,福懋,2935975,3090691,2025420,-5.0,44.95,14186583,13003255,9.1,-
1439,中和,8858,5984,8281,48.02,6.96,37367,61169,-38.91,-
1440,南紡,1592547,1891812,1173545,-15.81,35.7,8817464,7247818,21.65,-
1441,大東,147229,113161,112609,30.1,30.74,632414,688804,-8.18,-
1444,力麗,849439,771799,463133,10.05,83.41,3823543,3520403,8.61,去年同期受新型冠狀病毒疫情影響以致於營收衰退，今年營運逐漸恢復正常。
1445,大宇,96775,95403,56628,1.43,70.89,460746,427507,7.77,訂單增加營業額成長
1447,力鵬,2263198,1910183,674463,18.48,235.55,10051727,4217777,138.31,因新增子公司貿易營收
1449,佳和,250156,251070,227360,-0.36,10.02,1090679,733496,48.69,-
1451,年興,596702,572110,307953,4.29,93.76,2906550,2322211,25.16,去年為控制新冠肺炎疫情，賴索托及墨西哥產區分別於109/3/29~109/5/5及109/4/5~109/6/15期間配合當地政府政策暫時停工。
1452,宏益,165986,162389,50251,2.21,230.31,841736,452227,86.13,去年同期受新冠肺炎疫情影響，營收大幅減少。
1454,台富,127550,127762,79555,-0.16,60.32,622317,570391,9.1,去年同期受新冠肺炎疫情影響，營收偏低
1455,集盛,934445,886296,396217,5.43,135.84,4184019,2925220,43.03,因去年度受疫情影響，營收過度萎縮，致基期較低，本年景氣已回穩。
1457,宜進,374574,371454,150806,0.83,148.38,1682653,1201697,40.02,"109年因台南廠停止生產及疫情影響,致營業額大幅降低,今年已恢復正常。"
1459,聯發,193385,221026,77458,-12.5,149.66,1087323,723937,50.19,去年同期受新型冠狀病毒疫情影響，致去年同期營業收入大幅減少。
1460,宏遠,744338,740461,369740,0.52,101.31,3626953,2580285,40.56,109年因疫情影響造成營收減少
1463,強盛,41311,45616,18763,-9.43,120.17,193875,251545,-22.92,去年同期因受疫情影響營業額較本年度同期減少.
1464,得力,873158,857655,451265,1.8,93.49,4159692,3510359,18.49,去年度受疫情影響故營收大幅衰退。
1468,昶和,101263,118037,78376,-14.21,29.2,459771,432703,6.25,-
1470,大統新創,73372,76700,22179,-4.33,230.81,351801,268003,31.26,"2020年Q2受COVID-19疫情影響,出貨量銳減,造成兩年度明顯差異"
1474,弘裕,273149,265400,194160,2.91,40.68,1328079,1062778,24.96,-
1476,儒鴻,3404550,3158046,2039347,7.8,66.94,14782072,9541191,54.92,主係全球經濟逐漸復甦，致業績成長。
1477,聚陽,1560469,2345903,1438613,-33.48,8.47,10723171,8702559,23.21,-
4438,廣越,1337459,625008,1131464,113.99,18.2,3531698,3452093,2.3,-
4439,冠星-KY,649910,553776,257765,17.35,152.13,2711240,2158699,25.59,去年同期受疫情影響致營收下降
1506,正道,81044,67722,77081,19.67,5.14,404332,369824,9.33,-
1513,中興電,1043468,1678387,1099407,-37.82,-5.08,7404568,5353686,38.3,-
1514,亞力,452007,386044,435413,17.08,3.81,2068505,2078153,-0.46,-
1515,力山,1497563,1471519,643187,1.76,132.83,7007897,2556220,174.15,客戶銷售狀況好增加採購量
1527,鑽全,443928,335787,285485,32.2,55.49,1892497,1410208,34.19,國外市場需求增加
1529,樂士,13803,20595,8648,-32.97,59.6,64779,252444,-74.33,"本年迄今因太陽能工程案量少,致營收較去年同期減少"
1530,亞崴,311606,311109,275918,0.15,12.93,1426702,1156882,23.32,-
1531,高林股,213474,260585,99468,-18.07,114.61,1098256,581481,88.87,去年逢大陸爆發疫情並漫延全世界影響，業績衰退，比較基期低所致。
1535,中宇,660989,640253,650920,3.23,1.54,3475198,3289360,5.64,-
1537,廣隆,644513,611767,595517,5.35,8.22,2952238,2804899,5.25,-
1538,正峰,28609,18568,21988,54.07,30.11,108452,105384,2.91,-
1539,巨庭,272787,243445,168045,12.05,62.32,1131610,780914,44.9,國外市場需求增加
1540,喬福,36859,42144,9169,-12.54,301.99,197607,114642,72.36,出口回升
1558,伸興,643327,800381,413366,-19.62,55.63,3988929,2087552,91.08,"本月增加百分比達50%以上,係因歐美縫紉機需求增加"
1560,中砂,507991,480526,413221,5.71,22.93,2453254,2091412,17.3,-
1589,永冠-KY,678178,777036,701277,-12.72,-3.29,3600922,2543936,41.54,本年累計營收增加41.55%，主要係去年因為新冠疫情影響，公司大陸工廠停工致使基期較低所致。
1590,亞德客-KY,2233597,2426662,1682673,-7.95,32.74,10594135,6804232,55.69,本月營業收入換算匯率為4.3383030;本年累計營業收入換算匯率為4.3578128。
1597,直得,162123,161737,128609,0.23,26.05,742515,549474,35.13,-
2049,上銀,2369013,2236269,1861385,5.93,27.27,10596729,7222336,46.72,-
3167,大量,437884,428134,159356,2.27,174.78,1824021,660916,175.98,市場設備需求逐漸復甦所致
4532,瑞智,1970258,2222346,1590403,-11.34,23.88,10020611,7503817,33.54,-
4540,全球傳動,310702,268079,216908,15.89,43.24,1223598,1002414,22.06,-
4552,力達-KY,366149,325287,366767,12.56,-0.16,1588712,1219369,30.28,-
4555,氣立,186931,184820,150572,1.14,24.14,818316,601063,36.14,-
4562,穎漢,60754,66711,58340,-8.92,4.13,306073,265949,15.08,-
4564,元翎,211498,160262,159699,31.97,32.43,953666,809020,17.87,-
4566,時碩工業,342378,367012,189162,-6.71,80.99,1842081,1389984,32.52,主係去年同期疫情影響營收，本期逐步恢復。及工業應用商品營收持續成長所致。
4571,鈞興-KY,198983,211286,117504,-5.82,69.34,1136412,637632,78.22,客戶訂單增加
4576,大銀微系統,252284,265557,220983,-4.99,14.16,1212821,1011592,19.89,-
5288,豐祥-KY,483069,462703,312039,4.4,54.81,2263454,1723261,31.34,去年因疫情(COVID-19)影響，導致營收大幅滑落，而本期無此情形。
8222,寶一,25337,31271,26299,-18.97,-3.65,135958,237354,-42.71,-
8374,羅昇,348777,306808,235146,13.67,48.32,1533670,1137833,34.78,新產品開始貢獻營收，5月營收創3年來新高
8996,高力,186635,202151,150929,-7.67,23.65,892519,862673,3.45,-
1603,華電,161627,148748,107088,8.65,50.92,1048799,919800,14.02,"本公司產品為訂單式生產。營收增加主要係本期有交貨161KV電力電纜線，金額為63,713仟元。"
1604,聲寶,838750,683761,748297,22.66,12.08,3631081,3134407,15.84,-
1605,華新,12770540,12244761,7208866,4.29,77.15,53869678,44318021,21.55,主係本期銷售價、量均較去年同期增加所致
1608,華榮,880343,808397,769694,8.89,14.37,3938524,2981125,32.11,-
1611,中電,145031,147596,162147,-1.73,-10.55,753474,894434,-15.75,-
1612,宏泰,541426,496329,435517,9.08,24.31,2496903,1927600,29.53,-
1614,三洋電,613425,453266,575613,35.33,6.56,2388364,2153917,10.88,-
1615,大山,343992,885445,303998,-61.15,13.15,2016334,1170317,72.28,110年累計營收較去年同期累計營收成長72.29%。係110/3-5增加子公司營建收入所致。
1616,億泰,284397,204612,224775,38.99,26.52,1116213,1126920,-0.95,-
1618,合機,445601,176037,206328,153.12,115.96,1434108,841175,70.48,"110年5月業主通知交貨較多,致超高壓線及銅板等出貨量較去年同期增加。"
1626,艾美特-KY,1375276,1147031,1353286,19.89,1.62,5065839,4175539,21.32,-
4930,燦星網,928529,975530,662930,-4.81,40.06,4438430,2761655,60.71,"109/3/27董事會決議處分燦星國旅全數持股，109年第一季起將該公司轉列停業單位，合併營收109年5月累積扣除110,186仟元。"
5283,禾聯碩,705248,541955,550634,30.13,28.07,2540904,2178520,16.63,-
1708,東鹼,292402,415078,336406,-29.55,-13.08,1553910,1733342,-10.35,-
1711,永光,783261,793963,472568,-1.34,65.74,3858027,3299037,16.94,主要係去年同期受到新冠肺炎疫情之影響，各國紛紛採取鎖國及封城等措施，整體需求大幅下降，致使基期較低所致。
1713,國化,51729,47429,37539,9.06,37.8,233250,205600,13.44,-
1714,和桐,1622275,1732500,2098560,-6.36,-22.69,8203799,9705918,-15.47,-
1717,長興,4316922,4718326,2896092,-8.5,49.06,20237667,13700545,47.71,-
1718,中纖,2587885,2680593,2191961,-3.45,18.06,12975116,11881865,9.2,"備註	本月份自結異業別合併營收資訊,未經會計師簽證或核閱"
1721,三晃,230490,212536,211844,8.44,8.8,1169684,1279750,-8.6,-
1723,中碳,642982,649410,394598,-0.98,62.94,2961248,2326056,27.3,本月營收較去年同月增加幅度較大，主係因油價較去年同期大漲，帶動主要產品售價上漲，導致本月營收較去年同期增加。
1724,台硝,161593,206642,127422,-21.8,26.81,810865,723227,12.11,-
1725,元禎,931594,975515,531424,-4.5,75.3,4285734,2781226,54.09,本年度因油價回升及石油產業復甦，下游備料增加，故本月營收亦較去年同期成長。
1727,中華化,148585,157320,149425,-5.55,-0.56,740312,789738,-6.25,-
1773,勝一,945261,855267,580843,10.52,62.73,4094330,3219494,27.17,溶劑銷量較去年同期增加
1776,展宇,115808,136020,87440,-14.85,32.44,625740,566678,10.42,-
3708,上緯投控,862129,1163838,770123,-25.92,11.94,4651421,2631534,76.75,客戶訂單增加，帶動我司營收成長
4720,德淵,289020,303251,267049,-4.69,8.22,1424036,1125712,26.5,-
4722,國精化,348321,402600,279843,-13.48,24.47,1884475,1546190,21.87,-
4739,康普,621067,642018,395847,-3.26,56.89,2956215,2154734,37.19,本月營收較去年同期增加56.90%主係動力電池材料銷售增加
4755,三福化,336226,301878,267628,11.37,25.63,1607949,1463071,9.9,-
4763,材料-KY,219753,223355,181557,-1.61,21.03,1074408,857886,25.23,-
4766,南寶,1434501,1556128,1006512,-7.81,42.52,7283447,5913892,23.15,-
1598,岱宇,959845,1004666,819092,-4.46,17.18,5793035,3195884,81.26,各品牌產品與電商通路銷售持續暢旺
1701,中化,717855,647486,625512,10.86,14.76,3374154,3432262,-1.69,-
1707,葡萄王,920329,762506,776728,20.69,18.48,3655035,3458491,5.68,-
1720,生達,443535,390132,379591,13.68,16.84,1934772,1784344,8.43,-
