,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,Date
0,00632R,元大台灣50反1,278000,281000,-3000,0,0,0,168000,0,168000,82152600,435000,0,435000,91615600,9898000,81717600,82317600,2021-06-09
1,00715L,期街口布蘭特正2,4785024,1479000,3306024,0,0,0,0,0,0,13695000,0,0,0,15307000,1612000,13695000,17001024,2021-06-09
2,00637L,元大滬深300正2,8624000,17000,8607000,0,0,0,0,0,0,4985170,0,0,0,14424220,9439050,4985170,13592170,2021-06-09
3,2618,長榮航,44712000,31651870,13060130,0,0,0,0,0,0,-1574160,5091387,5559547,-468160,196000,1302000,-1106000,11485970,2021-06-09
4,00642U,期元大S&P石油,1395000,461000,934000,0,0,0,0,0,0,9028000,0,0,0,9169000,141000,9028000,9962000,2021-06-09
5,1314,中石化,19274000,11039000,8235000,0,0,0,0,0,0,-2114187,263000,381187,-118187,223000,2219000,-1996000,6120813,2021-06-09
6,3014,聯陽,8312200,3976000,4336200,0,0,0,687000,0,687000,46469,140000,220000,-80000,256469,130000,126469,5069669,2021-06-09
7,2883,開發金,13766000,9353901,4412099,0,0,0,0,1089000,-1089000,682000,0,117000,-117000,814000,15000,799000,4005099,2021-06-09
8,3545,敦泰,12458600,8953261,3505339,0,0,0,385000,342000,43000,95000,772000,764000,8000,87000,0,87000,3643339,2021-06-09
9,2314,台揚,6996200,4983000,2013200,0,0,0,1131000,0,1131000,456000,154000,18000,136000,324000,4000,320000,3600200,2021-06-09
10,3711,日月光投控,7784463,4572400,3212063,0,0,0,16000,0,16000,-94750,2388,15000,-12612,10000,92138,-82138,3133313,2021-06-09
11,067709,大立光元富07購01,0,0,0,0,0,0,0,0,0,2923000,0,0,0,2923000,0,2923000,2923000,2021-06-09
12,035943,晶相光凱基13購01,0,0,0,0,0,0,0,0,0,2750000,0,0,0,3030000,280000,2750000,2750000,2021-06-09
13,9958,世紀鋼,2329000,1271000,1058000,0,0,0,1025000,0,1025000,661016,11094,13030,-1936,693952,31000,662952,2744016,2021-06-09
