,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季,民國110年第1季
,單位：新台幣仟元,單位：新台幣仟元.1,單位：新台幣仟元.2,單位：新台幣仟元.3,單位：新台幣仟元.4,單位：新台幣仟元.5,單位：新台幣仟元.6,單位：新台幣仟元.7,單位：新台幣仟元.8,單位：新台幣仟元.9,單位：新台幣仟元.10,單位：新台幣仟元.11,單位：新台幣仟元.12,單位：新台幣仟元.13,單位：新台幣仟元.14,單位：新台幣仟元.15,單位：新台幣仟元.16,單位：新台幣仟元.17,單位：新台幣仟元.18,單位：新台幣仟元.19,單位：新台幣仟元.20,單位：新台幣仟元.21,單位：新台幣仟元.22,單位：新台幣仟元.23,單位：新台幣仟元.24,單位：新台幣仟元.25,單位：新台幣仟元.26,單位：新台幣仟元.27,單位：新台幣仟元.28,單位：新台幣仟元.29,單位：新台幣仟元.30,單位：新台幣仟元.31,單位：新台幣仟元.32
0,會計項目,普通股股本,股本合計,資本公積,法定盈餘公積,特別盈餘公積,未分配盈餘（或待彌補虧損）,保留盈餘合計,國外營運機構財務報表換算之兌換差額,透過其他綜合損益按公允價值衡量之金融資產未實現評價(損)益,避險工具之利益（損失）,其他,其他權益項目合計,庫藏股票,歸屬於母公司業主之權益總計,非控制權益,權益總額,,,,,,,,,,,,,,,,
1,期初餘額,259303805,259303805,56347243,311146899,42259146,1235280036,1588686081,-57001627,2321754,0,0,-54679873,,1849657256,964743,1850621999,,,,,,,,,,,,,,,,
2,提列特別盈餘公積,0,0,0,0,12420727,-12420727,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,
3,普通股現金股利,0,0,0,0,0,-64825951,-64825951,0,0,0,0,0,,-64825951,0,-64825951,,,,,,,,,,,,,,,,
4,採用權益法認列之關聯企業及合資之變動數,0,0,82,0,0,0,0,0,0,0,0,0,,82,0,82,,,,,,,,,,,,,,,,
5,本期淨利（淨損）,0,0,0,0,0,139690493,139690493,0,0,0,0,0,,139690493,48256,139738749,,,,,,,,,,,,,,,,
6,本期其他綜合損益,0,0,0,0,0,0,0,7831185,-1822951,-41416,0,5966818,,5966818,192,5967010,,,,,,,,,,,,,,,,
7,本期綜合損益總額,0,0,0,0,0,139690493,139690493,7831185,-1822951,-41416,0,5966818,,145657311,48448,145705759,,,,,,,,,,,,,,,,
8,實際取得或處分子公司股權價格與帳面價值差額,0,0,8406282,0,0,0,0,0,0,0,0,0,,8406282,1045516,9451798,,,,,,,,,,,,,,,,
9,非控制權益增減,0,0,0,0,0,0,0,0,0,0,0,0,,0,1859,1859,,,,,,,,,,,,,,,,
10,處分透過其他綜合損益按公允價值衡量之權益工具,0,0,0,0,0,-278816,-278816,0,278816,0,0,278816,,0,0,0,,,,,,,,,,,,,,,,
11,其他,0,0,0,0,0,0,0,0,0,41416,0,41416,,41416,0,41416,,,,,,,,,,,,,,,,
12,權益增加(減少)總額,0,0,8406364,0,12420727,62164999,74585726,7831185,-1544135,0,0,6287050,,89279140,1095823,90374963,,,,,,,,,,,,,,,,
13,期末餘額,259303805,259303805,64753607,311146899,54679873,1297445035,1663271807,-49170442,777619,0,0,-48392823,,1938936396,2060566,1940996962,,,,,,,,,,,,,,,,
